region,educ.per.cap.ave,School.attendance,health.per.cap.ave,Child.mortality,MPI.of.the.region,need.vs.resources,MPI.pop.2016,Country,educ.oda.per.cap.ave,health.oda.per.cap.ave
Badakhshan,18.3213177784851,44.8954373598099,0.824378202485313,10.6538414955139,0.333678394556046,,1137827.27050781,Afghanistan,1.52478064550667,9.00882433185593
Badghis,8.04786093444058,44.159546494484,0.448017661125831,9.86536294221878,0.428395837545395,,741388.18359375,Afghanistan,3.9764593842184,5.49933232040033
Baghlan,20.5160553971361,48.9116817712784,2.49406313552848,12.7781614661217,0.302180647850037,,984700.012207031,Afghanistan,0.835477800143492,4.88493646833495
Balkh,12.8600360474925,36.1761212348938,2.70196096663983,7.44124874472618,0.232047393918037,,2154844.97070312,Afghanistan,0.702141462875776,5.05672572651224
Bamyan,20.0140890222861,42.6312118768692,2.04737643209313,6.77172616124153,0.256750524044037,,411342.529296875,Afghanistan,3.20059295169507,24.9612871723984
Daykundi,20.7055112300669,49.2880374193192,3.42235458745298,3.11780255287886,0.280699282884598,,424474.426269531,Afghanistan,2.20900233788079,11.9499189729256
Farah,8.85184740293718,59.3919217586517,1.64264592381681,4.47948202490807,0.336186677217484,,753522.705078125,Afghanistan,2.51730039084003,2.55508160142352
Faryab,6.08889019399225,33.6016356945038,0.696896539824774,11.3138757646084,0.194350257515907,,2449319.09179688,Afghanistan,1.6834303108196,0.641754684093385
Ghazni,13.6319724442245,46.4839309453964,1.11632539178367,6.37474432587624,0.241084083914757,,1269017.08984375,Afghanistan,0.971471550593375,3.14944694755222
Ghor,13.6309458022574,37.9208296537399,2.75468535397419,11.1329428851604,0.273508667945862,,850317.077636719,Afghanistan,1.00207678101466,6.08028126915834
Helmand,6.21591288818598,67.050439119339,1.56409716538538,1.20141487568617,0.324587047100067,,1088601.80664062,Afghanistan,0.549492014757857,3.18541911178801
Herat,15.0683894707344,49.5973587036133,2.36747011082673,6.30041435360909,0.312412470579147,,2352260.7421875,Afghanistan,0.652315014437158,1.8187966679329
Jawzjan,13.6620245440371,50.729912519455,2.6212598368904,7.21735805273056,0.255954176187515,,837685.363769531,Afghanistan,0.391647048151437,2.72498613289372
Kabul,4.52332283113479,26.8650650978088,0.94667739052434,3.60849313437939,0.0785656571388245,,4189815.91796875,Afghanistan,3.33492980922515,5.16103342566023
Kandahar,4.18925514112661,73.1148898601532,1.06479378734064,19.0307378768921,0.430139094591141,,2845751.953125,Afghanistan,0.472168699919356,2.44146472160739
Kapisa,42.0481176213207,32.700377702713,5.46563585425523,4.87051829695702,0.203138768672943,,252971.84753418,Afghanistan,1.38858139126544,5.23232530774461
Khost,10.7214217784531,70.0695157051086,1.51450362309291,9.59223806858063,0.296309500932694,,986459.838867188,Afghanistan,0.61335999313953,2.38380510523409
Kunarha,14.81467526927,56.647264957428,0.531743416373444,5.76778873801231,0.308228105306625,,807009.521484375,Afghanistan,0.791268235380248,2.56131550492496
Kunduz,9.96173368925627,62.3129189014435,2.0662133049484,6.08151517808437,0.306835770606995,,1515965.94238281,Afghanistan,0.0204166855828904,0.666335550000713
Laghman,14.7533901119486,61.2834572792053,1.94745229068865,10.4385696351528,0.361651390790939,,739796.813964844,Afghanistan,0.115408715458536,2.88569369278394
Logar,12.3813470057615,41.8666452169418,1.14270306170221,7.1671262383461,0.216211676597595,,603487.487792969,Afghanistan,1.53421904965432,2.93951247686608
Nangarhar,34.8120376573669,51.956033706665,4.37011896849536,12.4673619866371,0.269303768873215,,1048685.18066406,Afghanistan,1.36330237745391,3.51652056117052
Nimroz,13.1994419805356,56.0552775859833,6.76941579842796,3.86773236095905,0.242566123604775,,315021.423339844,Afghanistan,1.54424735575903,6.68935140238594
Nooristan,15.9447981705368,74.1049885749817,5.55163316649868,40.4623240232468,0.557624161243439,,225495.986938477,Afghanistan,3.06274186683611,5.46039872690037
Paktika,9.61724977165594,53.5768747329712,0.346082312032596,4.20164950191975,0.224744036793709,,862159.057617188,Afghanistan,0.49528679914374,3.53877973332699
Paktya,14.1860689481117,50.1473426818848,1.51027581896306,9.24827456474304,0.262874513864517,,639904.968261719,Afghanistan,0.892462206616946,10.9426217130668
Panjsher,71.0902307570596,21.3482230901718,49.954151244006,3.74997705221176,0.129172995686531,,75606.689453125,Afghanistan,14.3185742932334,14.7468168235465
Parwan,21.1692685052175,48.1076627969742,3.92543192680696,7.18743950128555,0.271973669528961,,809616.638183594,Afghanistan,0.428958575726856,2.09566221836371
Samangan,15.9679012042933,40.4209971427918,4.93244643955847,7.41871744394302,0.337561756372452,,399725.982666016,Afghanistan,2.90698140823857,3.77048794763808
Sar-E-Pul,10.7312321432009,52.0195841789246,3.39026866992703,5.81027306616306,0.349077016115189,,767360.717773438,Afghanistan,0.44494719639898,2.20410552798113
Takhar,13.4960903438846,49.4982063770294,1.55512140373491,9.16197001934052,0.296205461025238,,1363723.75488281,Afghanistan,0.291759968670628,2.04431431953722
Urozgan,12.4730892287177,81.1685860157013,2.54364568196428,15.1932924985886,0.536759495735169,,267847.839355469,Afghanistan,2.25895046029105,15.3849514333066
Wardak,24.0706275851095,55.4116666316986,0.891388418134693,6.27400726079941,0.307641863822937,,456644.927978516,Afghanistan,0.747703476115394,5.67588697738025
Zabul,137.152998554785,37.3168289661407,61.1434973067959,3.50849069654942,0.183789312839508,,27678.1845092773,Afghanistan,18.5198924383275,43.6808635188756
