region,Child.mortality,Nutrition,School.attendance,Years.of.schooling,Electricity,Drinking.water,Sanitation,Housing,Assets,Cooking...fuel,MPI.A,MPI.H,p20,ext,np20,weights,MPI,share.of.pop
western,0.0324301636855464,0.0806697014485928,0.0631133344896469,0.116483485446841,0.175314739174832,0.295866171544513,0.852014695861166,0.24776570419386,0.150323036121497,0.774209855214941,0.188117895262481,0.106121970950319,0.0811961195517678,0.0103892673096574,0.0595491275944146,41441.93206,0.0199634418162801,0.100531866570229
eastern,0.0412378337896879,0.0614907976652915,0.143020987316974,0.139071552947863,0.261045986681081,0.354164315173839,0.833592138133832,0.226005695889836,0.224696790513923,0.862484496712106,0.217655794888956,0.165811415039884,0.16028611703498,0.0315661005657727,0.125749622424472,39873.78382,0.0360898153421685,0.0967277758391844
ashanti,0.0494115469506078,0.0654680128185095,0.137839378108144,0.0940943914960634,0.158620383646807,0.130692041061833,0.8318727707657,0.13716146314772,0.12154736777758,0.734233583254297,0.1759545343763,0.107892643500761,0.0860991708191445,0.0070792956363741,0.0651772033781162,75674.06385,0.0189841998498045,0.183573846865555
central,0.0417394937178154,0.103247906814688,0.352288799801461,0.136011402114483,0.183003664609678,0.188871423062238,0.870378487947016,0.190312687307204,0.216609184536993,0.792698006697221,0.241535180574829,0.191914408352425,0.0612779034099926,0.00339918070014239,0.0473532498091223,39862.03793,0.0463540812763143,0.0966992820844889
northern,0.104161584881515,0.222642857068834,0.242336693785013,0.419382244388145,0.476994924086628,0.654045168343248,0.962207941142761,0.653639141952718,0.198130586506314,0.979195354815266,0.382457460951206,0.495131596179325,0.748441392873759,0.506350378875886,0.716163089804551,40806.16528,0.189366773111463,0.0989895924068475
volta,0.0378416492580517,0.0693260068842742,0.106934393628935,0.18627716172138,0.350637602802453,0.38920140523331,0.849665045703327,0.397957514477069,0.269254443724796,0.883795929486316,0.241235726169392,0.205860900563821,0.255809657505774,0.0635970610563987,0.216556416819103,34441.9675,0.0496610038373984,0.0835510100280339
brong ahafo,0.0462835407486549,0.0742238351205248,0.10693362906616,0.181937501714313,0.421737107120115,0.296191000729664,0.895908757899405,0.362635535396109,0.166253648061861,0.897340002933265,0.236983755596832,0.183945800896211,0.293134065217493,0.0896299398201705,0.250291810127735,35308.97841,0.0435921667226511,0.085654247516886
upper east,0.039667609783047,0.0909485671588545,0.178959101981453,0.332336570208307,0.683957869801021,0.278741334797164,0.949961907930012,0.801249146110754,0.168732546072308,0.959539382421989,0.320670262897245,0.399071900615962,0.806767948034057,0.646918420778391,0.785001101996062,17501.33296,0.127970491285424,0.0424555898452933
upper west,0.0744572991162464,0.100269024816144,0.200233486152759,0.441002540033834,0.403106245838998,0.264570454690606,0.94355646920116,0.441841489211645,0.233304527026272,0.968660311982502,0.317062670410588,0.363040827800421,0.645099839933333,0.389522363936752,0.601646763062798,11491.26819,0.115106694330472,0.0278760806500824
greater accra,0.022061245409995,0.0442009626127837,0.142573173273553,0.0842121856579264,0.0612908008545322,0.0600018106649231,0.744986051648531,0.116232688502814,0.0760555027366446,0.490730337878428,0.133709994308482,0.0669963166456212,0.0321212913760478,0.0109878795955496,0.0257439164271763,75825.29393,0.00895807711737529,0.183940708193399
