region,socialsectorODA_2015,socialsectorODA_2016,socialsectorODA_2017,TOTAL,AVERAGE,Population 2016 
Unspecified,38266361.00,33080204.00,7547606.00,78894171.00,26298057.00,
Nationwide,165346522.00,141424956.00,138288000.00,445059478.00,148353159.00,
Ashanti,1113117.00,3430980.00,396402.00,4940499.00,1646833.00,5069892.09
Brong Ahafo,72164.00,573765.00,861236.00,1507165.00,502388.00,2462606.69
Central,118128.00,2133370.00,2882420.00,5133918.00,1711306.00,2842308.35
Eastern,36082.00,820573.00,1066055.00,1922710.00,640903.00,2666963.87
Greater Accra,63275273.00,80958456.00,26606621.00,170840350.00,56946783.00,5141229.49
Northern,4901278.00,11383587.00,18881370.00,35166235.00,11722078.00,2793528.08
Upper East,1937624.00,7264962.00,3631995.00,12834581.00,4278194.00,1202741.70
Upper West,36082.00,2727621.00,1744534.00,4508237.00,1502746.00,764227.97
Volta,50757.00,1613588.00,2646132.00,4310477.00,1436826.00,2308365.97
Western,,,1105515.00,1105515.00,368505.00,2954863.77
Total,275153388.00,285412061.00,205657887.00,766223336.00,255407779.00,28206728.00
% nationwide,,,,,0.58,
% unspecified,,,,,0.10,
