shregion,Child.morality,Nutrition,School.attendance,Years.of.schooling,Electricity,Drinking.water,Sanitation,Housing,Assets,Cooking...fuel,weights,share.of.pop,Population.2016,Population.size.by...region
nairobi,0.0318580641204158,0.10787394393964,0.00964147649289955,0.0180305731901729,0.0180305731901729,0.0789697000583639,0.710401626390714,0.797381448781006,0.0946436872557579,0.155620412782529,128269.32067,0.0898825265611775,48461.567,4355.84808307378
nyandarua,0.0329168461631573,0.190875398223693,0.0270614753158689,0.0643229286299394,0.0643229286299394,0.322136664139312,0.837416973509373,0.99788478413445,0.128927888051105,0.955492114024594,21567.96417,0.0151133809881785,48461.567,732.418125355139
nyeri,0.0241241566464705,0.0788740037964544,0.00158922783667839,0.0297191629430994,0.0297191629430994,0.204969315403112,0.681600934425234,0.990595483972211,0.13618142162011,0.833464435561405,24618.30777,0.0172508569505958,48461.567,836.003559918714
kirinyaga,0.0261215850639599,0.0974126267282057,0.0120234749855029,0.0842442255656255,0.0842442255656255,0.339432962411449,0.662069554035879,0.992321269912162,0.214106493653484,0.900589156634641,18837.00929,0.0131997111935868,48461.567,639.678688388657
muranga,0.0201286736905959,0.121033817018394,0.00437762421582641,0.0572177659258305,0.0572177659258305,0.400802529055053,0.595361137953024,0.991208695117689,0.183907653582172,0.929364089939456,32443.57053,0.0227342756215609,48461.567,1101.73862123074
kiambu,0.0162440923132452,0.0924906062106291,0.00773159161724547,0.0265979262912168,0.0265979262912168,0.115630667569028,0.757724783183752,0.958805240095508,0.0984820446818919,0.600811658879699,65507.72662,0.045903415930865,48461.567,2224.55146666248
mombasa,0.0232876463032484,0.138484776006705,0.0307248948703294,0.0512101064656181,0.0512101064656181,0.235633672945162,0.711495402754038,0.912414848261528,0.179618339947976,0.592403469794891,35278.98906,0.0247211465272738,48461.567,1198.0254987483
kwale,0.0519311914422101,0.294521369319204,0.0954874673971431,0.214353376870737,0.214353376870737,0.584559884888191,0.827873587037892,0.995020183006644,0.425831335167822,0.935004054395672,29773.70976,0.0208634164767499,48461.567,1011.07385543692
kilifi,0.0697890612601058,0.385826155715119,0.0873254772831376,0.134141168956173,0.134141168956173,0.419640822209054,0.757600113704911,0.991467912970368,0.425011382473335,0.939163539280951,49882.32639,0.0349541847049879,48461.567,1693.93456401115
tana river,0.0684769275382106,0.347806164129349,0.265150172016432,0.339639147890811,0.339639147890811,0.717064954774909,0.95434181678148,0.99883566472231,0.524689304670628,0.970524480920215,10476.05465,0.0073409156251593,48461.567,355.752274410004
lamu,0.0605881057072801,0.228183348808876,0.0696813724211242,0.156189438984126,0.156189438984126,0.497421524249438,0.764556278287039,0.901355631172834,0.277909931982094,0.961477879796545,4375.12881,0.00306579647743758,48461.567,148.573301399705
taita taveta,0.0289659678267005,0.166080105476526,0.0133495652805953,0.0703631527319815,0.0703631527319815,0.468609394268642,0.478812600314561,0.973302484382956,0.271711663514458,0.87484332474375,9932.23204,0.00695984125809652,48461.567,337.284813438609
marsabit,0.0302503034833236,0.308699462991102,0.358415746771206,0.463477684820735,0.463477684820735,0.843414488205922,0.857009765595292,0.999376205914923,0.647566100082093,0.977270658088422,6569.89237,0.00460373940055266,48461.567,223.104425410423
isiolo,0.036298088265381,0.260927379632016,0.187452315524811,0.272412711425782,0.272412711425782,0.344878160102648,0.834287045750362,0.994638743034162,0.542621730264432,0.972034517600252,5346.24999,0.00374629298899264,48461.567,181.551228687697
meru,0.0372436268588777,0.150311481243265,0.0244386508673676,0.15516733492665,0.15516733492665,0.472155634941061,0.755899358179579,0.989938950754289,0.362888324956716,0.959704195799019,51821.43306,0.0363129804471095,48461.567,1759.78393490729
tharaka,0.0237666614137512,0.17809465280228,0.0115172149036306,0.137591199403766,0.137591199403766,0.601672186441391,0.773100417445405,1,0.317499065746836,0.969311488482322,13730.7536,0.0096215900942682,48461.567,466.277332999915
embu,0.0290891780093767,0.177075731909948,0.00800650193292009,0.0615029064794202,0.0615029064794202,0.482242606236649,0.735394879334293,0.992280654887338,0.237344215204484,0.925316912701767,19556.17838,0.0137036565992088,48461.567,664.10067242755
kitui,0.0311192256682843,0.323489471162061,0.0372429503841231,0.107834902732515,0.107834902732515,0.830001969297081,0.760618152630506,0.988974427889275,0.355699361255375,0.980881857151139,38502.21519,0.0269797669575461,48461.567,1307.48178405751
machakos,0.0217325504878753,0.191361593560658,0.0228901120590787,0.0260741458439256,0.0260741458439256,0.640698447208672,0.63881208861555,0.919781686071021,0.206734479991915,0.834636581995449,41857.58757,0.0293309866061158,48461.567,1421.42557258838
makueni,0.0227088269092858,0.183070639998913,0.0164574800305005,0.0439351825457922,0.0439351825457922,0.727650888001969,0.650804622561506,1,0.210913624218122,0.978248009562955,32216.82779,0.0225753895352844,48461.567,1094.03875251528
garissa,0.0910023465252295,0.266514085778827,0.527012237090719,0.420652149267375,0.420652149267375,0.503671953457081,0.774523643096198,0.990882021811151,0.631131654014003,0.990857290400981,15046.45297,0.0105435438627363,48461.567,510.956657321434
wajir,0.0353136881947857,0.354674313208555,0.60870026526185,0.516779279858778,0.516779279858778,0.731846094724526,0.880906485812903,1,0.631759566286093,0.994997675371011,14848.58451,0.010404890932958,48461.567,504.237319075237
mandera,0.0257591976720546,0.341053527386261,0.677873622445465,0.521683028265572,0.521683028265572,0.679262135247129,0.836204890555866,1,0.63650387000688,0.997977369211202,11741.91065,0.00822794250694458,48461.567,398.738987072443
