shregion,Child.mortality,Nutrition,School.attendance,Years.of.schooling,Electricity,Drinking.water,Sanitation,Housing,Assets,Cooking...fuel,MPI.A,MPI.H,p20,ext,np20,weights,MPI,share.of.pop
nairobi,0.0318580641204158,0.10787394393964,0.00964147649289955,0.0180305731901729,0.119388357948805,0.0789697000583639,0.710401626390714,0.797381448781006,0.0946436872557579,0.155620412782529,0.137543789276356,0.0351705429263239,0.0539445698617342,0.00786406605048718,0.00222278295784787,128269.32067,0.00483748974499331,0.0898825265611775
nyandarua,0.0329168461631573,0.190875398223693,0.0270614753158689,0.0643229286299394,0.837692547502039,0.322136664139312,0.837416973509373,0.99788478413445,0.128927888051105,0.955492114024594,0.27949194444147,0.25135756561723,0.551239148780541,0.202151631263583,0.0253571637864975,21567.96417,0.0702524147644341,0.0151133809881785
nyeri,0.0241241566464705,0.0788740037964544,0.00158922783667839,0.0297191629430994,0.525747942584926,0.204969315403112,0.681600934425234,0.990595483972211,0.13618142162011,0.833464435561405,0.209125921157381,0.0951306718010484,0.293657917007998,0.102571600923649,0.017996039132303,24618.30777,0.0198942893707148,0.0172508569505958
kirinyaga,0.0261215850639599,0.0974126267282057,0.0120234749855029,0.0842442255656255,0.732494707497169,0.339432962411449,0.662069554035879,0.992321269912162,0.214106493653484,0.900589156634641,0.250186110521565,0.163576965333216,0.504436078663738,0.232060926057971,0.0541728415742582,18837.00929,0.0409246847276383,0.0131997111935868
muranga,0.0201286736905959,0.121033817018394,0.00437762421582641,0.0572177659258305,0.690775204574871,0.400802529055053,0.595361137953024,0.991208695117689,0.183907653582172,0.929364089939456,0.244506943450797,0.147349826585479,0.441509740019358,0.175819899191595,0.0433214013451558,32443.57053,0.0360280557164205,0.0227342756215609
kiambu,0.0162440923132452,0.0924906062106291,0.00773159161724547,0.0265979262912168,0.286103343789035,0.115630667569028,0.757724783183752,0.958805240095508,0.0984820446818919,0.600811658879699,0.179940234679939,0.0605095629865812,0.150008163113385,0.0409078339040061,0.00770690063675423,65507.72662,0.010888104964186,0.045903415930865
mombasa,0.0232876463032484,0.138484776006705,0.0307248948703294,0.0512101064656181,0.226173675643936,0.235633672945162,0.711495402754038,0.912414848261528,0.179618339947976,0.592403469794891,0.2007706462106,0.102051808811072,0.0921279780572034,0.0273588029509143,0.0132650586785267,35278.98906,0.0204890076019595,0.0247211465272738
kwale,0.0519311914422101,0.294521369319204,0.0954874673971431,0.214353376870737,0.840104349711034,0.584559884888191,0.827873587037892,0.995020183006644,0.425831335167822,0.935004054395672,0.367495840675421,0.466770315941752,0.816333993510387,0.697132695499212,0.564289799135867,29773.70976,0.171536149659346,0.0208634164767499
kilifi,0.0697890612601058,0.385826155715119,0.0873254772831376,0.134141168956173,0.795184059975392,0.419640822209054,0.757600113704911,0.991467912970368,0.425011382473335,0.939163539280951,0.354579137119082,0.432643920175532,0.753702785552861,0.658875651328659,0.563249947092133,49882.32639,0.153406507895657,0.0349541847049879
tana river,0.0684769275382106,0.347806164129349,0.265150172016432,0.339639147890811,0.967949042724782,0.717064954774909,0.95434181678148,0.99883566472231,0.524689304670628,0.970524480920215,0.456927995965949,0.628561648973289,0.925451965831431,0.848822784634863,0.74615118870156,10476.05465,0.287207414606417,0.0073409156251593
lamu,0.0605881057072801,0.228183348808876,0.0696813724211242,0.156189438984126,0.808985548473486,0.497421524249438,0.764556278287039,0.901355631172834,0.277909931982094,0.961477879796545,0.319988931888708,0.346665910025324,0.724592734905101,0.576407790380005,0.414976122725859,4375.12881,0.11092925427123,0.00306579647743758
taita taveta,0.0289659678267005,0.166080105476526,0.0133495652805953,0.0703631527319815,0.653269066956288,0.468609394268642,0.478812600314561,0.973302484382956,0.271711663514458,0.87484332474375,0.25328744529037,0.197791930934884,0.53762223420628,0.290478258903021,0.0941717104708319,9932.23204,0.0500982128855462,0.00695984125809652
marsabit,0.0302503034833236,0.308699462991102,0.358415746771206,0.463477684820735,0.784219248937255,0.843414488205922,0.857009765595292,0.999376205914923,0.647566100082093,0.977270658088422,0.477241735470083,0.653831332086253,0.780863706904228,0.739795117830827,0.67082100920323,6569.89237,0.312035599629559,0.00460373940055266
isiolo,0.036298088265381,0.260927379632016,0.187452315524811,0.272412711425782,0.7642333378399,0.344878160102648,0.834287045750362,0.994638743034162,0.542621730264432,0.972034517600252,0.374070328358343,0.469705448984947,0.711248732684122,0.610118798429027,0.4899159214214,5346.24999,0.175702871533502,0.00374629298899264
meru,0.0372436268588777,0.150311481243265,0.0244386508673676,0.15516733492665,0.798936853059694,0.472155634941061,0.755899358179579,0.989938950754289,0.362888324956716,0.959704195799019,0.301841830860177,0.273714648988474,0.612149880596143,0.358306948565116,0.111698963695158,51821.43306,0.0826185307839317,0.0363129804471095
tharaka,0.0237666614137512,0.17809465280228,0.0115172149036306,0.137591199403766,0.894447684939886,0.601672186441391,0.773100417445405,1,0.317499065746836,0.969311488482322,0.310938825179682,0.285465772471981,0.714980885681322,0.528789984258402,0.229290811103041,13730.7536,0.0887623919214482,0.0096215900942682
embu,0.0290891780093767,0.177075731909948,0.00800650193292009,0.0615029064794202,0.794350272233506,0.482242606236649,0.735394879334293,0.992280654887338,0.237344215204484,0.925316912701767,0.277966084817386,0.220699670552827,0.595764444034489,0.363591656398053,0.122396119195145,19556.17838,0.0613470233440563,0.0137036565992088
kitui,0.0311192256682843,0.323489471162061,0.0372429503841231,0.107834902732515,0.935224264949624,0.830001969297081,0.760618152630506,0.988974427889275,0.355699361255375,0.980881857151139,0.352918998801886,0.404563854901106,0.840725192050956,0.678885196631202,0.41293080804684,38502.21519,0.14277827062313,0.0269797669575461
machakos,0.0217325504878753,0.191361593560658,0.0228901120590787,0.0260741458439256,0.741796193535384,0.640698447208672,0.63881208861555,0.919781686071021,0.206734479991915,0.834636581995449,0.264902990000181,0.200523992026813,0.490853769000429,0.260887813989228,0.0567978000649023,41857.58757,0.0531194050546751,0.0293309866061158
makueni,0.0227088269092858,0.183070639998913,0.0164574800305005,0.0439351825457922,0.935941982449291,0.727650888001969,0.650804622561506,1,0.210913624218122,0.978248009562955,0.294606656973807,0.227485587217031,0.695931110478832,0.40652369703715,0.129654835579329,32216.82779,0.0670187683597329,0.0225753895352844
garissa,0.0910023465252295,0.266514085778827,0.527012237090719,0.420652149267375,0.774362900228438,0.503671953457081,0.774523643096198,0.990882021811151,0.631131654014003,0.990857290400981,0.475890195327797,0.687573884798429,0.695482972024336,0.626600604727109,0.557060970895388,15046.45297,0.327209670339016,0.0105435438627363
wajir,0.0353136881947857,0.354674313208555,0.60870026526185,0.516779279858778,0.927026140486976,0.731846094724526,0.880906485812903,1,0.631759566286093,0.994997675371011,0.543066195252554,0.82456850335914,0.933242886597546,0.913927842136112,0.894229181310697,14848.58451,0.447795279844341,0.010404890932958
mandera,0.0257591976720546,0.341053527386261,0.677873622445465,0.521683028265572,0.822373972842316,0.679262135247129,0.836204890555866,1,0.63650387000688,0.997977369211202,0.538293217449831,0.790938028767741,0.802759992046099,0.772217950747224,0.739622901150249,11741.91065,0.425756576308814,0.00822794250694458
