district_id,district_name,year,value,County
d18974,Baringo,2016,39.6,BARINGO
d18975,Bomet,2016,48.8,BOMET
d18987,Bungoma,2016,35.7,BUNGOMA
d18988,Busia,2016,69.3,BUSIA
d18976,Elgeyo-Marakwet,2016,43.4,ELGEYO MARAK
d18955,Embu,2016,28.2,EMBU
d18965,Garissa,2016,65.5,GARISSA
d18968,Homa Bay,2016,33.5,HOMA BAY
d18956,Isiolo,2016,51.9,ISIOLO
d18991,Kajiado,2016,40.7,KAJIADO
d18989,Kakamega,2016,35.8,KAKAMEGA
d18977,Kericho,2016,30.3,KERICHO
d18943,Kiambu,2016,23.3,KIAMBU
d18949,Kilifi,2016,46.4,KILIFI
d18944,Kirinyaga,2016,20,KIRINYAGA
d18969,Kisii,2016,41.7,KISII
d18970,Kisumu,2016,33.9,KISUMU
d18957,Kitui,2016,47.5,KITUI
d18950,Kwale,2016,47.4,KWALE
d18978,Laikipia,2016,45.9,LAIKIPIA
d18951,Lamu,2016,28.5,LAMU
d18958,Machakos,2016,23.3,MACHAKOS
d18959,Makueni,2016,34.8,MAKUENI
d18966,Mandera,2016,77.6,MANDERA
d18960,Marsabit,2016,63.7,MARSABIT
d18961,Meru,2016,19.4,MERU
d18971,Migori,2016,41.2,MIGORI
d18952,Mombasa,2016,27.1,MOMBASA
d18946,Murang'a,2016,25.3,MURANGA
d18964,Nairobi,2016,16.7,NAIROBI
d18979,Nakuru,2016,29.1,NAKURU
d18980,Nandi,2016,36,NANDI
d18981,Narok,2016,22.6,NAROK
d18962,Nithi,2016,23.6,THARAKA
d18972,Nyamira,2016,32.7,NYAMIRA
d18947,Nyandarua,2016,34.8,NYANDARUA
d18948,Nyeri,2016,19.3,NYERI
d18982,Samburu,2016,75.8,SAMBURU
d18973,Siaya,2016,33.8,SIAYA
d18953,Taita Taveta,2016,32.3,TAITA TAVETA
d18954,Tana River,2016,62.2,TANA RIVER
d18983,Trans-Nzoia,2016,34,TRANS-NZOIA
d18984,Turkana,2016,79.4,TURKANA
d18985,Uasin Gishu,2016,41,UASIN GISHU
d18990,Vihiga,2016,43.2,VIHIGA
d18967,Wajir,2016,62.6,WAJIR
d18986,West Pokot,2016,57.4,WEST POKOT
