region,educ.per.cap.ave,School.attendance,health.per.cap.ave,Child.mortality,MPI.of.the.region,need.vs.resources,MPI.pop.2016,Country
CABO DELGADO,18.1950753289053,43.9737439155579,7.40896126197062,7.11231678724289,0.537240624427795,,2296794.67773438,Mozambique
GAZA,28.5049861526527,28.7772655487061,7.29858372630664,10.1698003709316,0.349607825279236,,1601185.546875,Mozambique
INHAMBANE,28.6616721717742,21.9217330217361,9.6286002160812,6.57918751239777,0.358937084674835,,1709576.90429688,Mozambique
MANICA,26.2608384144347,23.338770866394,7.79845444796824,9.902523458004,0.331151783466339,,1907902.22167969,Mozambique
MAPUTO CIDADE,49.984254984923,6.41275867819786,67.4516239961941,6.3119113445282,0.0413949601352215,,1472595.21484375,Mozambique
MAPUTO PROVINCIA,15.2794985121509,11.7372877895832,6.15384637629121,7.36228600144386,0.141949504613876,,1961064.81933594,Mozambique
NAMPULA,21.3610491487612,32.1500211954117,6.82972911089246,5.32618463039398,0.447913438081741,,4446226.5625,Mozambique
NIASSA,22.6082205864228,41.5048599243164,8.04613997101502,6.60379454493523,0.469104766845703,,1714563.84277344,Mozambique
SOFALA,22.9618580989125,33.0826222896576,8.47378507605989,10.3231482207775,0.402089864015579,,2677781.00585937,Mozambique
TETE,12.3786374621584,39.3999695777893,3.77630830580334,12.5621899962425,0.476892322301865,,3593351.07421875,Mozambique
ZAMBEZIA,18.9432334375712,33.6775422096252,5.83885173460472,11.1007772386074,0.532966017723084,,5448434.08203125,Mozambique
