region,educ.per.cap.ave,School.attendance,health.per.cap.ave,Child.mortality,MPI.of.the.region,need.vs.resources,MPI.pop.2016,Country
BUGESERA,44.0972352433333,0.108649438,3.18585508466667,0.066995728,0.177709192,,371462.0429,Rwanda
BURERA,46.55697981,0.093101026,3.99798895133333,0.012913719,0.179579707,,381238.4779,Rwanda
GAKENKE,55.84351252,0.110767046,8.75383428033334,0.032789292,0.136793188,,359489.0623,Rwanda
GASABO,37.9829136366667,0.093981441,5.02654349966667,0.023061433,0.054411334,,640554.1143,Rwanda
GATSIBO,42.8283492566667,0.120769383,3.79737209066667,0.039903653,0.237604505,,550438.1991,Rwanda
GICUMBI,49.8387178133334,0.119279,7.312365913,0.045449727,0.154863547,,444144.5164,Rwanda
GISAGARA,51.5496934333333,0.230012081,4.77095780433333,0.060969723,0.321840878,,372105.2742,Rwanda
HUYE,61.6642142333333,0.146126491,15.9649802433333,0.025937985,0.162693866,,376214.233,Rwanda
KAMONYI,47.84486298,0.089773801,3.31725283,0.027063353,0.138323328,,395599.1503,Rwanda
KARONGI,48.42909138,0.081945481,6.104972752,0.033526482,0.176226516,,370224.5671,Rwanda
KAYONZA,44.2688316933333,0.140512752,2.82642811466667,0.046697158,0.175205144,,379441.6969,Rwanda
KICUKIRO,53.6394299266667,0.06625414,5.24124337733333,0.023771014,0.027612682,,340626.4918,Rwanda
KIREHE,37.3090727766667,0.134300813,2.99588334166667,0.064721581,0.188808684,,346049.0882,Rwanda
MUHANGA,51.79812586,0.08205727,5.09317007666667,0.023538205,0.153668121,,350546.4348,Rwanda
MUSANZE,49.36681222,0.098516282,6.490561814,0.027874182,0.130816049,,440797.6172,Rwanda
NGOMA,49.3091250466667,0.11524199,3.83872691266667,0.040509569,0.21508565,,415769.8711,Rwanda
NGORORERO,49.22400043,0.144432399,3.96499180133333,0.058341906,0.255979251,,382293.6274,Rwanda
NYABIHU,52.8285150133333,0.077551677,8.692578618,0.051947991,0.215730557,,290676.0547,Rwanda
NYAGATARE,41.2529200233333,0.146240491,4.98434964666667,0.044290535,0.177743368,,560112.346,Rwanda
NYAMAGABE,55.3568443066667,0.135593671,5.39761174566667,0.030186944,0.208022693,,372215.0219,Rwanda
NYAMASHEKE,48.8116922833333,0.073866972,7.47424771,0.019168848,0.147657506,,404569.4506,Rwanda
NYANZA,47.5833389733333,0.109624102,4.421303309,0.047635933,0.205720737,,347239.3002,Rwanda
NYARUGENGE,51.7204728133333,0.085524252,10.79751707,0.033912942,0.052241073,,345905.6862,Rwanda
NYARUGURU,52.3556489433333,0.156097173,4.57095207033333,0.040821636,0.27230497,,306721.7962,Rwanda
RUBAVU,45.5530266966667,0.161721699,3.51060089833333,0.050960652,0.167373129,,469877.3105,Rwanda
RUHANGO,49.58389944,0.085620188,5.801605995,0.036663854,0.226879282,,373085.4551,Rwanda
RULINDO,59.0598218866667,0.108304633,5.52618436266667,0.038495007,0.158249467,,326110.3563,Rwanda
RUSIZI,49.0015273133333,0.101252578,4.067722929,0.044611326,0.153923003,,476210.4844,Rwanda
RUTSIRO,45.6554478533333,0.062377267,3.265884508,0.044512439,0.243323284,,337944.4424,Rwanda
RWAMAGANA,48.3231349366667,0.102951192,4.24610252566667,0.038213176,0.125307671,,389845.8305,Rwanda
