shdistrict,Child.mortality,Nutrition,School.attendance,Years.of.schooling,Electricity,Drinking.water,Sanitation,Housing,Assets,Cooking...fuel,MPI.A,MPI.H,MPI,p20,ext,np20,weights,share.of.pop
huye,0.0259379848907264,0.272898240987779,0.146126491293953,0.324694200771144,0.759428957955989,0.538615458661939,0.375599219482165,0.73498329166799,0.512797358819512,0.992300147061576,0.343772725216067,0.548760524472623,0.262195982526027,0.82499023863646,0.513202209887955,0.247662363515706,17073.56245,0.0315681963892258
gatsibo,0.0399036526670771,0.238763285160564,0.120769382826954,0.494452649859978,0.806779899119237,0.691832050989978,0.503927801743778,0.877430900338204,0.524678095761772,0.998648072987249,0.393609096249108,0.680913088055212,0.328710613073035,0.949553582579863,0.55204118147726,0.188453839724427,24980.29086,0.0461873572101797
ngororero,0.0583419061111731,0.224590923873946,0.144432398556218,0.500267303694876,0.85854775225814,0.80347735519752,0.579206343281368,0.887579917764234,0.639250444743935,0.997429497072978,0.418535006534496,0.690641416557192,0.351687783653668,0.96556272245068,0.572282287210597,0.179711620422576,17349.46089,0.0320783193446961
kirehe,0.0647215805823464,0.194481643545059,0.134300812960482,0.4988869535143,0.832842511896375,0.58633865193852,0.172655191235173,0.881684998286832,0.457200283461566,0.991328766943844,0.365972709270968,0.623402480507947,0.291027794144557,0.963934491243388,0.554534970141814,0.17797724764202,15704.59116,0.0290370342688136
bugesera,0.0669957279775425,0.216014081183143,0.108649438079667,0.395360902514274,0.757349164629705,0.747147285301814,0.507481213980935,0.792358325467489,0.364215822988534,0.991581098816286,0.362382525792132,0.597288550142027,0.283059732130653,0.939077644430565,0.461928661935927,0.145920077464851,16857.89593,0.0311694393589997
kicukiro,0.0237710135274969,0.135597804762154,0.066254140265094,0.145765964746531,0.160936417356342,0.247151139320544,0.451582612780935,0.25546726772335,0.178625873768402,0.97022494011222,0.187675278942534,0.187432624809496,0.0809531937132298,0.197483683521894,0.0673539390891052,0.0174153897154118,15458.49989,0.0285820233380963
gakenke,0.032789291558878,0.170436856246837,0.110767045930801,0.335752225554255,0.844317008910562,0.562808045085451,0.112941738474071,0.889520925562588,0.514085402329819,0.996289429457413,0.326068621609687,0.502223319057182,0.226131911218541,0.956559428016673,0.484271344843706,0.140329938987215,16314.5315,0.030164784642833
rulindo,0.0384950071287157,0.20303266198147,0.108304633475959,0.367156126582552,0.862297494318913,0.580749573745331,0.310727807253334,0.837297712904121,0.486018031989063,0.994032428558145,0.344577879959484,0.537244692141576,0.253960277081996,0.961924942691148,0.552411399577368,0.172087791306006,14799.7206,0.0273639720927995
rwamagana,0.0382131758527034,0.211541942766341,0.102951192475131,0.326087943679969,0.696564439814143,0.62171526765795,0.250933815652872,0.757653784945101,0.418124380540901,0.987759708775378,0.320348733247335,0.497802607738833,0.226162942381738,0.909988925825538,0.450931593769676,0.137621968832518,17692.19915,0.0327120259149252
kayonza,0.0466971584781516,0.249138801301949,0.140512752211334,0.40356126495228,0.862192477215346,0.644294328588104,0.180985452234615,0.878017060710627,0.418747327023125,0.991921461474551,0.360882668782084,0.571856431401728,0.272044233726046,0.928375769663159,0.488992253963741,0.122768286797128,17220.033,0.0318390133965831
ruhango,0.0366638540274054,0.277442452515031,0.0856201879375334,0.398364539004495,0.88050590772958,0.862366684339924,0.680913254702612,0.765462827839316,0.591113111342964,0.997711618071446,0.398462925371899,0.667455216453638,0.327755478340886,0.959129868715805,0.574797020069937,0.259522897465982,16931.57052,0.0313056601349993
karongi,0.0335264817859787,0.209590127699662,0.081945481041634,0.366266693208353,0.849260344671655,0.604851837735911,0.561358922830172,0.850663464651533,0.516978703150827,0.99560565530415,0.360167100542643,0.586093230267391,0.277259741141174,0.945299745012303,0.533914932119527,0.196730989368734,16801.73612,0.0310656025694338
nyabihu,0.0519479905454413,0.196539449382262,0.0775516769071161,0.480554145704447,0.928788063804305,0.629533563209749,0.272205057168741,0.955388914917868,0.756558569761028,0.999188701708598,0.386746814343783,0.635112846233326,0.302275649068366,0.962373989486624,0.839550250377408,0.448509789416699,13191.62152,0.0243906741815149
nyanza,0.0476359329655987,0.231008665701765,0.109624101764301,0.423966595872799,0.928292656814578,0.657971235006522,0.35137896226179,0.875246300497333,0.569409834766591,0.998725685509587,0.379199897830314,0.601891713443796,0.295749932145544,0.946465019879975,0.665944801632905,0.336787295986984,15758.60602,0.029136905148919
rubavu,0.0509606516392422,0.231527645095196,0.161721698671911,0.41329179354902,0.679135928367465,0.454364469364326,0.427265699821532,0.768393209733431,0.550690552535044,0.994132454584689,0.358665581485778,0.567609948570253,0.280039101570912,0.77223081897573,0.552647504602634,0.239646476272518,21324.23205,0.0394274801861179
burera,0.0129137187460681,0.182846607707578,0.0931010259578583,0.42392537290958,0.880360482269167,0.668973930340059,0.426753749317435,0.905242976915459,0.503980866075473,0.999318171342651,0.36301528232635,0.594403639025911,0.274142919132749,0.973365845802097,0.679375767438419,0.256224710717111,17301.57551,0.0319897815785187
nyagatare,0.0442905349228081,0.201928593837138,0.146240491047436,0.402006866558298,0.801433654323915,0.74934308795889,0.235617049653478,0.805796450558065,0.444475347044329,0.994798721343871,0.356135345238854,0.575495266541632,0.268335231379819,0.915432525187079,0.468211716144734,0.14024626028327,25419.32835,0.0469991164283945
nyarugenge,0.0339129416552507,0.206867116612768,0.0855242520246654,0.173208719126429,0.238829711872829,0.351376569751282,0.694200588964772,0.451619318432699,0.244892737449058,0.980326631228247,0.247720945088465,0.283703157826277,0.130498461533274,0.341453148661199,0.126103457569837,0.0471273231325928,15698.08321,0.0290250013820454
gicumbi,0.0454497270239634,0.173892701434962,0.119278999623738,0.301110705855457,0.864581672587003,0.68886306916657,0.297326918003981,0.879512990113174,0.563493457341316,0.990377524603256,0.344765592289657,0.512789482024879,0.242028244374408,0.931851705562589,0.552377846173383,0.181469502745805,20156.41215,0.0372682373181806
ngoma,0.0405095694467903,0.300529109101289,0.115241989957516,0.411506442391948,0.832512913198681,0.659946922782691,0.560038522438645,0.827792235143216,0.508173740845705,0.997418314754654,0.388006845696454,0.650914324968864,0.319406948699323,0.932589688500134,0.559051053352207,0.227418624844937,18868.6983,0.0348873162989749
nyaruguru,0.0408216360121909,0.318963233100377,0.156097172567969,0.46208449486191,0.954048244095463,0.796947600804305,0.638941201660797,0.929163385397768,0.645506630552096,0.998550321588107,0.439612237029982,0.74136852297527,0.38157058226158,0.974932174114365,0.704182194120374,0.227374014188277,13919.81824,0.0257370749185766
