region,Education.spending..US...per.capita_16,Health.Spending..US...per.capita_16,Education.spending..US...per.capita_17,Health.Spending..US...per.capita_17,Education.spending..US...per.capita_18,Health.Spending..US...per.capita_18,Child.mortality,Nutrition,School.attendance,Years.of.schooling,Electricity,Drinking.water,Sanitation,Housing,Assets,Cooking...fuel,MPI.A,MPI.H,p20,ext,np20,weights,MPI.of.the.region,share.of.pop,Population.size.by...region,MPI.pop.2016
BUGESERA,44.50437739,3.374718833,41.37213881,2.906969378,46.41518953,3.275877043,0.066995728,0.216014081,0.108649438,0.395360903,0.757349165,0.747147285,0.507481214,0.792358325,0.364215823,0.991581099,0.362382526,0.490391174,0.939077644,0.461928662,0.145920077,16857.89593,0.177709192,0.031169439,371.4620429,371462.0429
BURERA,43.67824586,5.092434938,45.79691379,3.405566999,50.19577978,3.495964917,0.012913719,0.182846608,0.093101026,0.423925373,0.880360482,0.66897393,0.426753749,0.905242977,0.503980866,0.999318171,0.363015282,0.494689109,0.973365846,0.679375767,0.256224711,17301.57551,0.179579707,0.031989782,381.2384779,381238.4779
GAKENKE,53.70014495,5.778131014,54.6519295,10.61086597,59.17846311,9.872505857,0.032789292,0.170436856,0.110767046,0.335752226,0.844317009,0.562808045,0.112941738,0.889520926,0.514085402,0.996289429,0.326068622,0.419522698,0.956559428,0.484271345,0.140329939,16314.5315,0.136793188,0.030164785,359.4890623,359489.0623
GASABO,38.70118763,3.944966731,34.66239773,6.160559864,40.58515555,4.974103904,0.023061433,0.17965932,0.093981441,0.201148895,0.377064174,0.253182232,0.495183815,0.414852424,0.265690734,0.969165839,0.237020891,0.229563453,0.386058908,0.173860905,0.075761285,29069.98118,0.054411334,0.053748998,640.5541143,640554.1143
GATSIBO,39.68853627,3.652707993,42.62225384,4.214038134,46.17425766,3.525370145,0.039903653,0.238763285,0.120769383,0.49445265,0.806779899,0.691832051,0.503927802,0.8774309,0.524678096,0.998648073,0.393609096,0.603656032,0.949553583,0.552041181,0.18845384,24980.29086,0.237604505,0.046187357,550.4381991,550438.1991
GICUMBI,48.84774406,7.567454938,49.41023103,8.200791161,51.25817835,6.16885164,0.045449727,0.173892701,0.119279,0.301110706,0.864581673,0.688863069,0.297326918,0.87951299,0.563493457,0.990377525,0.344765592,0.449185041,0.931851706,0.552377846,0.181469503,20156.41215,0.154863547,0.037268237,444.1445164,444144.5164
GISAGARA,49.01482283,4.658727613,48.00285965,3.934637313,57.63139782,5.719508487,0.060969723,0.295649025,0.230012081,0.535134572,0.962230967,0.660807521,0.598437718,0.933096253,0.68605722,0.999358002,0.454739674,0.707747522,0.989600936,0.774987464,0.486996647,16887.08741,0.321840878,0.031223413,372.1052742,372105.2742
HUYE,63.82890813,15.47115588,58.66714251,15.88362024,62.49659206,16.54016461,0.025937985,0.272898241,0.146126491,0.324694201,0.759428958,0.538615459,0.375599219,0.734983292,0.512797359,0.992300147,0.343772725,0.473259958,0.824990239,0.51320221,0.247662364,17073.56245,0.162693866,0.031568196,376.214233,376214.233
KAMONYI,46.55219636,3.210537802,47.09052573,3.258637541,49.89186685,3.482583147,0.027063353,0.257997821,0.089773801,0.27969614,0.845787391,0.604243182,0.419615377,0.725097986,0.457429633,0.997589622,0.333633474,0.414596672,0.885701723,0.420587862,0.126900415,17953.29949,0.138323328,0.033194788,395.5991503,395599.1503
KARONGI,47.8607851,5.873129558,47.35640437,5.8157188,50.07008467,6.626069898,0.033526482,0.209590128,0.081945481,0.366266693,0.849260345,0.604851838,0.561358923,0.850663465,0.516978703,0.995605655,0.360167101,0.489290987,0.945299745,0.533914932,0.196730989,16801.73612,0.176226516,0.031065603,370.2245671,370224.5671
KAYONZA,41.80789785,3.95991745,43.68101516,4.02401438,47.31758207,0.495352514,0.046697158,0.249138801,0.140512752,0.403561265,0.862192477,0.644294329,0.180985452,0.878017061,0.418747327,0.991921461,0.360882669,0.485490602,0.92837577,0.488992254,0.122768287,17220.033,0.175205144,0.031839013,379.4416969,379441.6969
KICUKIRO,47.19026091,5.408175624,42.9549152,5.216513514,70.77311367,5.099040994,0.023771014,0.135597805,0.06625414,0.145765965,0.160936417,0.247151139,0.451582613,0.255467268,0.178625874,0.97022494,0.187675279,0.147130096,0.197483684,0.067353939,0.01741539,15458.49989,0.027612682,0.028582023,340.6264918,340626.4918
KIREHE,32.3533958,3.064040832,37.79533688,2.968540006,41.77848565,2.955069187,0.064721581,0.194481644,0.134300813,0.498886954,0.832842512,0.586338652,0.172655191,0.881684998,0.457200283,0.991328767,0.365972709,0.51590919,0.963934491,0.55453497,0.177977248,15704.59116,0.188808684,0.029037034,346.0490882,346049.0882
MUHANGA,54.14829516,5.36845532,49.25467153,4.729298582,51.99141089,5.181756328,0.023538205,0.269214097,0.08205727,0.363667341,0.862929806,0.491729535,0.396528979,0.744310486,0.420271593,0.986774265,0.339596165,0.452502521,0.876905915,0.36168056,0.116362828,15908.69223,0.153668121,0.029414407,350.5464348,350546.4348
MUSANZE,48.80684966,11.18372765,48.08344753,4.255801047,51.21013947,4.032156745,0.027874182,0.153658933,0.098516282,0.367506099,0.724427925,0.360677128,0.544043031,0.826382431,0.420974029,0.99480913,0.322783315,0.405275126,0.869322638,0.521638831,0.208426658,20004.52132,0.130816049,0.036987398,440.7976172,440797.6172
