region,Child.mortality,Nutrition,School.attendance,Years.of.schooling,Electricity,Drinking.water,Sanitation,Housing,Assets,Cooking...fuel,MPI.A,MPI.H,MPI,p20,ext,np20,weights,share.of.pop
dakar,0.0810272105684535,0.152517952626905,0.330295270388276,0.181939619558991,0.0734968495983827,0.0247890786552638,0.332580545055559,0.0633745736180252,0.0605857526957113,0.29077943559247,0.164995841720681,0.208908901864421,0.0867888675102258,0.0577864809204117,0.00389704121074312,0,93260.33017,0.253069282761204
ziguinchor,0.0544962748502282,0.162849908054136,0.193897000538555,0.104916748964716,0.302575955989882,0.597005918173282,0.626884658202739,0.655795557736069,0.119745461677944,0.938522088507689,0.270513262894353,0.387859476262595,0.165548440969143,0.720450665178458,0.327899832386861,0.0347235268482371,12651.4545,0.0343307225093969
diourbel,0.148301906671843,0.379120995570471,0.812574780188326,0.670767394919726,0.312572219134622,0.396810418813259,0.309589475524483,0.304846996453942,0.0586538075311742,0.921393806703707,0.465549098895397,0.74888705135683,0.413502951220816,0.426028209808289,0.293936083637002,0.152960224161732,39973.78105,0.108472016785022
saint-louis,0.0942924225800046,0.341023055623105,0.657934421438188,0.417583459616392,0.400361421137149,0.193235071799165,0.529410837013773,0.42316671157087,0.116096251322873,0.8441713885094,0.392881808596644,0.615507858610665,0.334128927322295,0.691972729170616,0.375519730157431,0.242487251764028,24678.57323,0.0669672605222555
tambacounda,0.164224824399874,0.431156770646571,0.71998932502736,0.623278745422524,0.710040921920338,0.423393705710771,0.83067275326496,0.75780343551339,0.168758466260579,0.982496660695448,0.536140235604815,0.78494339985127,0.505383595618951,0.827882785549087,0.751047892330337,0.641719934796668,17870.88421,0.04849405788173
kaolack,0.135784063743897,0.432690491064994,0.746943465888712,0.412941081524286,0.523744157755011,0.196196498038162,0.584838283868857,0.478030318754052,0.0811358054998606,0.880898477638593,0.444541451079091,0.692675116064789,0.395463516575056,0.757497304647657,0.570446027819633,0.258373070843143,28975.18211,0.078626448577723
thiès,0.0544543446359895,0.242055711569351,0.568193909355039,0.299999318952271,0.168374823005223,0.0833486909942227,0.324109480433904,0.216608761433677,0.0718039141768228,0.726101278885071,0.280383633948244,0.440823202366901,0.203990276308009,0.52493871041293,0.131099280051355,0.0281851767160657,46924.46364,0.127333243788461
louga,0.0970874849155732,0.300238134325595,0.742688465515883,0.561950813382077,0.55440102936916,0.147927261341387,0.530705915951043,0.409936670376148,0.101804410491502,0.909123664781696,0.437367879080352,0.67956497613657,0.384009924782181,0.71381200247006,0.550946573381549,0.341363850192475,25766.12651,0.0699184223724494
fatick,0.091608920392427,0.301786194142488,0.571134049182798,0.219119800519222,0.641133899535711,0.371170490682527,0.513862226717663,0.465994574174842,0.0935726389459844,0.941316126238329,0.361422281041374,0.589741438547268,0.292509567818492,0.882165611304697,0.621559829286323,0.303585232331192,20152.07951,0.0546842617696735
kolda,0.209061546587326,0.478351951846878,0.622809039817871,0.46880239612276,0.812562825431507,0.744321761498954,0.804105789388233,0.758340582508147,0.0770010420724061,0.965052928905108,0.526588048079301,0.815678891442375,0.491110637852384,0.931715638550443,0.839414819637829,0.599966086536761,16865.63227,0.0457662272276204
matam,0.0976407436223423,0.395517202317439,0.671798472280655,0.501324879281286,0.55419576926753,0.194524188177032,0.595180241971404,0.483190612857539,0.170664448941236,0.96177823942685,0.442981140609221,0.680129376771182,0.384078665006016,0.851535793806984,0.521864005811149,0.203094207691521,12845.00459,0.0348559359883261
kaffrine,0.136051360959484,0.434119055788115,0.767227114951961,0.797926876403067,0.758868306984681,0.0498716084090975,0.729084853202793,0.809822596674977,0.0926761151806723,0.975222493570555,0.546548990352856,0.872758135776041,0.523803772219061,0.927172235239147,0.818332202582017,0.56190642529732,13541.63063,0.0367462858506332
kedougou,0.173363084204842,0.509780929926287,0.501656735886629,0.397268190236158,0.634138590591848,0.329990555274488,0.939374665245648,0.922563670727068,0.149545044847082,0.976478674691069,0.484710913725222,0.797944357770014,0.445252445454872,0.938280770063432,0.767283051060308,0.313685781809331,4311.9305,0.0117007644832699
sedhiou,0.184653313525128,0.468938416767618,0.566616986434228,0.218619720918908,0.618790401594904,0.74118723464156,0.829047531463935,0.826836086146277,0.16096385870918,0.97938208935855,0.474933513179664,0.771700615826717,0.42472145950478,0.941460329485808,0.718857833990981,0.399071507137263,10699.91639,0.0290350694822353
