region,district_id,name,year,uganda_anc4_coverage_value,uganda_dpt3_coverage_value,uganda_health_funding_value,uganda_health_posts_value,uganda_leaving_exam_perf_rate_value,uganda_overall_health_value,uganda_poverty_headcount_value,uganda_primary_enrol_value,uganda_primary_pupil_classroom_ratio_value,uganda_primary_pupil_stance_ratio_value,uganda_primary_sit_write_value,uganda_secondary_enrol_value,uganda_total_pop_value,educ.per.cap.ave,School.attendance,health.per.cap.ave,Child.mortality,MPI.of.the.region,need.vs.resources,MPI.pop.2016,Country.x,Country.y,Health.Gov.Z,Educ.Gov.Z,MPI.Z,School.Attend.Z,Child.Mortality.Z,National.Pov.Z,Exam.Score.Z,Health.Outcome.Index.z,Primary.Enroll.z,Secondary.Enroll.z,Antenatal.Coverage.z,Tetanus.Vaccine.Coverage.z,Pupil.classroom.ratio.z,Pupil.sit.write.z,Pupil.toilet.z,pop.z,SubRegion,health_edu.per.cap.ave
ABIM,d314,Abim,2014,67,143.8,15.49260684,73,66,81.3,74,181,74,57,30.3,10,107966,10.1916539024776,0.443042962903362,6.43064610524074,0.0680919208729428,0.285164864379245,,105627.703378655,Uganda,Uganda,2.35245000049129,-0.315252026565972,1.1731017924571,2.23610770677611,-0.0602706499895394,1.57614543886049,1.17084305586471,1.17542257589909,2.07073105107738,-1.13027127113636,2.87595551453845,1.98819678021618,0.401379775758823,-3.21809376907126,0.0176334062214721,-0.798053144006302,Karamoja,16.6223000077183
ADJUMANI,d301,Adjumani,2014,14.6,33.4,10.60097367,107,58,65,68.16,34,61,66,75.9,13,225251,9.65298058082584,0.148990250649323,8.1612755426817,0.0339542523044885,0.138750659073436,,291599.588206367,Uganda,Uganda,1.24002399346705,-0.488493783089001,-0.148539242172179,0.0466002469652718,-0.962931984814694,1.29098292906859,0.28405068219203,-0.97085813480443,-1.89674433876761,-0.924544755913276,-1.41171315654583,-2.39962615301548,-0.167664969620774,0.822979353645353,0.511368780422695,-0.333012363829834,West Nile,17.8142561235075
AGAGO,d322,Agago,2014,40.7,105.9,6.844096678,75,52,73.9,68.4,110,78,57,57.7,26,227792,11.7051640022457,0.268721701898024,3.76178032829556,0.0722057317138714,0.229540180934685,,411868.516534654,Uganda,Uganda,0.38565746068557,0.171505229938145,0.670992970262933,0.938116953862803,0.048505905077324,1.30270193632031,-0.38104359806248,0.20103746797234,0.154467427410753,-0.0330631899465675,0.723938605196532,0.481869885565093,0.576470466644852,-0.789905094456451,0.0176334062214721,-0.322937174142931,Acholi,15.4669443305413
ALEBTONG,d323,Alebtong,2014,24,120.3,3.936154262,75,47,71,61.62,123,99,77,52.8,33,227541,9.56131735834381,0.180643937303031,3.19401647760874,0.0377334795777771,0.183706979950019,,219064.177965693,Uganda,Uganda,-0.275649439906752,-0.517973426934467,0.257269185448304,0.282292625136344,-0.863002420841287,0.971639981459169,-0.935288831607905,-0.180816155404361,0.505332597941263,0.446965345573968,-0.642551219366586,1.05419461598661,1.49569659379651,-1.22414321509924,1.11482312666863,-0.323932401459504,Lango,12.7553338359526
AMOLATAR,d315,Amolatar,2014,24.7,110,5.514173509,90,45,78.2,56.54,131,66,54,63.8,7,147166,10.282847831206,0.143211313720499,3.70574035124401,0.0471606455728056,0.166343411384497,,150593.505012848,Uganda,Uganda,0.0832142747138608,-0.285923311439149,0.100532995296115,0.0035704601680488,-0.613731202344715,0.723587661297723,-1.15698692502608,0.767234219875723,0.721249625960037,-1.33599778635945,-0.585273202768132,0.644823454643443,0.0511983939867633,-0.249322944268484,-0.146945051845602,-0.642623220461794,Lango,13.98858818245
AMUDAT,d324,Amudat,2014,8.9,41.6,5.506212856,46,54,35.8,85.5,19,59,27,71.5,29,105767,5.04519343976663,0.652088685215371,2.00204293146008,0.0827958428239357,0.579088067449111,,65409.2689325577,Uganda,Uganda,0.0814039105425639,-1.97039590431078,3.82626625416658,3.79265573156788,0.328527483334452,2.1376812030055,-0.15934550464431,-4.8157291012181,-2.30158876630281,0.172663325276519,-1.87811986313324,-2.07371901485878,-0.255210315063789,0.433051245313048,-1.62815117444927,-0.80677228691126,Karamoja,7.04723637122671
AMURIA,d216,Amuria,2014,11.9,53.7,4.431763867,70,53,62.4,46,65,81,77,52.9,10,270928,9.94239775519696,0.153877549331728,3.67772803446489,0.0589258461686272,0.14300531089545,,402002.92705035,Uganda,Uganda,-0.162940862878886,-0.395414847042492,-0.110133662438374,0.0829909227778614,-0.302638145330163,0.208927926159604,-0.270194551353395,-1.31320965921113,-1.06006585519486,-1.13027127113636,-1.63264264913986,-1.59280726221292,0.707788484809375,-1.21528121263715,1.11482312666863,-0.151900817458853,Teso,13.6201257896619
AMURU,d316,Amuru,2014,33.3,90.8,7.090999579,75,52,73.9,76.45,93,72,58,47.7,18,186696,9.11680813945499,0.204384418784566,4.0741783899706,0.085234280243993,0.253024984647626,,189173.330171532,Uganda,Uganda,0.441806644145729,-0.660931236010377,0.882983877923895,0.459063520751872,0.393004152913185,1.69577697122182,-0.38104359806248,0.20103746797234,-0.304356257129144,-0.581667230541465,0.118428144012875,-0.118276185918585,0.313834430315808,-1.67610534066623,0.0724928922438303,-0.485884830724183,Acholi,13.1909865294256
APAC,d302,Apac,2014,26.2,87.6,5.702769585,120,52,77.1,50.94,125,89,72,49.7,46,368626,11.9632275042859,0.180701024985526,5.37856004765706,0.0886306312274488,0.1749917022846,,407972.612291428,Uganda,Uganda,0.126103668189194,0.254500567911892,0.178598754756503,0.282717698266015,0.482809779390382,0.450144158757546,-0.38104359806248,0.622393190319042,0.559311854945956,1.33844691154068,-0.462534595771445,-0.245459459345589,1.05796986658143,-1.49886529142428,0.840525696556844,0.235476546583272,Lango,17.341787551943
ARUA,d303,Arua,2014,39.2,102,3.329906915,54,54,71.4,52.27,137,103,81,55.5,35,782077,11.4030761516241,0.207189226392257,6.2581606738912,0.0773332907433801,0.176539532517525,,867546.370782495,Uganda,Uganda,-0.413518591589736,0.0743513005297289,0.192570595440955,0.479948032012793,0.184087784920405,0.515086990610838,-0.15934550464431,-0.128146690111022,0.883187396974119,0.584116355722692,0.601199998199845,0.326865271075931,1.67078728468254,-0.984869148622603,1.33426107075807,1.87483004962919,West Nile,17.6612368255153
