adm1,hh_id,weight,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,wealth,urban,mpi,severe,mpi_poor,vulnerable,p20,ext,np20
KAMPALA,10001,5.254725,0,0,0,0,0,0,0,0,1,0,1.050945,1,0.055555556,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10002,1.050945,0,0,0,0,0,0,1,0,1,0,1.050945,1,0.111111111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10003,3.152835,0,0,0,0,1,0,0,0,1,0,1.050945,1,0.111111111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10004,11.560395,0,0,0,0,0,0,1,0,1,0,1.050945,1,0.111111111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10005,4.20378,0,0,0,0,0,0,1,0,1,0,1.050945,1,0.111111111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10006,2.10189,0,0,0,0,0,0,0,1,1,0,1.050945,1,0.111111111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10007,3.152835,0,0,0,0,0,0,1,0,1,0,1.050945,1,0.111111111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10008,5.254725,0,0,0,0,0,0,1,0,1,0,1.050945,1,0.111111111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10009,1.050945,0,0,0,0,0,0,1,0,1,0,1.050945,1,0.111111111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10010,11.560395,0,0,0,0,0,0,0,0,1,0,1.050945,1,0.055555556,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10011,4.20378,0,0,0,0,0,0,1,0,1,1,1.050945,1,0.166666667,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10013,1.050945,0,0,0,0,0,0,1,0,0,0,1.050945,1,0.055555556,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10014,1.050945,0,0,0,0,0,0,0,0,1,0,1.050945,1,0.055555556,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10015,2.10189,0,0,0,0,0,0,0,0,1,0,1.050945,1,0.055555556,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10016,1.050945,0,0,0,1,0,0,1,0,1,0,1.050945,1,0.277777778,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
KAMPALA,10017,4.20378,0,0,0,0,0,0,1,0,1,0,1.050945,1,0.111111111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10018,1.050945,0,0,0,0,0,0,1,0,1,1,1.050945,1,0.166666667,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10019,4.20378,0,0,0,0,0,0,1,0,1,0,1.050945,1,0.111111111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10020,3.152835,0,0,0,0,0,0,1,0,0,1,1.050945,1,0.111111111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10021,4.20378,0,0,0,0,0,0,1,0,1,0,1.050945,1,0.111111111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10022,1.050945,0,0,0,0,0,0,1,0,1,0,1.050945,1,0.111111111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10023,3.152835,0,0,0,0,0,0,1,0,1,0,1.050945,1,0.111111111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10024,3.152835,0,0,0,0,0,0,1,0,1,0,1.050945,1,0.111111111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10025,1.050945,0,0,0,0,0,0,0,0,0,0,1.050945,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10026,2.10189,0,0,0,0,0,0,1,0,1,0,1.050945,1,0.111111111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10027,4.20378,0,0,1,0,0,0,0,0,1,0,1.050945,1,0.222222222,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
KAMPALA,10028,1.050945,0,0,0,0,0,0,0,0,1,0,1.050945,1,0.055555556,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10029,5.254725,0,0,0,0,0,0,1,0,1,0,1.050945,1,0.111111111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KAMPALA,10030,5.254725,0,1,0,0,0,0,1,0,1,0,1.050945,1,0.277777778,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
KAMPALA,20002,0.952324,0,0,0,0,0,0,1,0,0,1,0.952324,1,0.111111111,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
KAMPALA,20003,0.952324,0,1,0,0,0,0,1,0,1,1,0.952324,1,0.333333333,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
KAMPALA,20004,4.76162,0,0,0,0,1,0,1,0,1,1,0.952324,1,0.222222222,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
KAMPALA,20005,1.904648,0,0,0,0,0,0,1,1,1,0,0.952324,1,0.166666667,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
KAMPALA,20006,1.904648,0,0,0,0,0,0,0,0,1,0,0.952324,1,0.055555556,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
KAMPALA,20007,3.809296,0,0,0,0,0,0,1,0,1,0,0.952324,1,0.111111111,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
KAMPALA,20008,0.952324,0,0,0,0,0,1,1,0,1,0,0.952324,1,0.166666667,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
KAMPALA,20009,3.809296,0,1,0,0,1,1,1,0,1,1,0.952324,1,0.444444444,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
KAMPALA,20010,2.856972,0,0,0,0,0,0,1,0,1,0,0.952324,1,0.111111111,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
KAMPALA,20011,0.952324,0,0,0,1,1,0,1,1,0,1,0.952324,1,0.388888889,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
KAMPALA,20012,1.904648,0,0,0,0,1,0,1,1,0,1,0.952324,1,0.222222222,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
KAMPALA,20013,0.952324,0,0,0,0,1,0,1,1,1,1,0.952324,1,0.277777778,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
KAMPALA,20014,1.904648,0,0,0,0,1,0,1,0,1,0,0.952324,1,0.166666667,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
KAMPALA,20015,5.713944,0,1,0,0,1,0,0,0,1,0,0.952324,1,0.277777778,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
KAMPALA,20016,0.952324,0,0,0,1,0,1,1,1,1,0,0.952324,1,0.388888889,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
KAMPALA,20017,4.76162,0,0,0,0,0,1,1,0,1,0,0.952324,1,0.166666667,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
KAMPALA,20018,1.904648,0,0,0,0,1,0,1,0,1,1,0.952324,1,0.222222222,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
KAMPALA,20019,2.856972,0,0,0,0,1,0,1,0,1,1,0.952324,1,0.222222222,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
KAMPALA,20020,6.666268,1,0,0,0,0,0,1,0,1,1,0.952324,1,0.333333333,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
KAMPALA,20021,2.856972,0,0,0,0,0,0,1,0,1,0,0.952324,1,0.111111111,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
KAMPALA,20022,4.76162,0,0,0,0,1,0,1,1,1,1,0.952324,1,0.277777778,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
KAMPALA,20023,1.904648,0,0,0,0,0,0,1,0,1,0,0.952324,1,0.111111111,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
KAMPALA,20024,0.952324,0,0,0,0,0,0,1,0,0,0,0.952324,1,0.055555556,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
KAMPALA,20025,6.666268,0,0,0,0,0,0,0,0,1,0,0.952324,1,0.055555556,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
KAMPALA,20026,2.856972,0,0,0,0,0,0,1,0,0,1,0.952324,1,0.111111111,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
KAMPALA,20027,0.952324,0,0,0,0,1,0,1,1,1,0,0.952324,1,0.222222222,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
KAMPALA,20028,0.952324,0,0,0,0,0,0,1,0,0,0,0.952324,1,0.055555556,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
KAMPALA,20029,1.904648,0,0,0,0,0,0,1,0,1,0,0.952324,1,0.111111111,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
KAMPALA,30001,2.737056,0,0,0,0,0,1,1,0,1,0,0.684264,1,0.166666667,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
KAMPALA,30003,3.42132,0,0,1,0,0,0,1,1,1,0,0.684264,1,0.333333333,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
KAMPALA,30004,4.789848,0,0,0,0,0,0,0,0,1,0,0.684264,1,0.055555556,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
KAMPALA,30006,3.42132,0,0,0,0,0,0,1,0,1,0,0.684264,1,0.111111111,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
KAMPALA,30007,2.052792,0,0,0,1,0,1,1,0,1,0,0.684264,1,0.333333333,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
KAMPALA,30008,0.684264,0,0,0,0,0,0,1,0,1,0,0.684264,1,0.111111111,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
KAMPALA,30010,1.368528,0,0,0,0,0,0,1,0,1,0,0.684264,1,0.111111111,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
KAMPALA,30012,2.737056,0,0,0,0,0,0,1,0,1,0,0.684264,1,0.111111111,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
KAMPALA,30013,4.105584,0,0,0,0,0,0,1,0,1,0,0.684264,1,0.111111111,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
KAMPALA,30015,4.789848,0,1,0,0,0,0,0,0,1,0,0.684264,1,0.222222222,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
